Rank,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
575,Terry Winn,UTRGV,37,29.6,4.5,10.1,0.445,0,0.4,0.077,3.6,5.1,0.713,2.2,1.7,0.8,3.9,4.7,1.6,0.9,0.2,12.6
576,Ryan Swan-Ford,AF,31,27.5,4.6,8.5,0.538,1,2.6,0.37,2.5,3.6,0.688,2.2,2.4,2.6,4.5,7.1,1.8,0.8,0.4,12.6
577,Stevie Jordan,RU,30,32.6,4.6,9.6,0.481,1.3,3.5,0.375,2,3.1,0.649,2.9,2.8,1,2.5,3.5,4.4,1.9,0.4,12.6
578,Tommy Funk,USMA,32,33.2,4.3,10.1,0.429,1.4,4,0.354,2.5,3.3,0.762,2.8,1.7,0.2,3.7,3.9,5.9,0.9,0.2,12.6
579,Nigel Hawkins,UTEP,27,33.9,3.9,11.3,0.34,1.3,4.7,0.276,3.6,4.5,0.795,3.1,2.1,1,3.6,4.5,1.7,0.9,0.3,12.6
580,Markell Johnson,NCST,33,25.3,4.4,8.9,0.488,2.1,4.9,0.422,1.8,2.4,0.747,2.2,2.1,0.7,1.9,2.6,4.2,1.1,0.2,12.6
581,Austin Butler,HC,33,34.5,4.5,10.3,0.441,1.7,4.2,0.4,1.8,2.6,0.694,1.9,2.1,1.2,2.9,4.1,1.9,1.5,0.2,12.6
582,Jonah Mathews,USC,33,33.2,4.6,10.8,0.431,2.4,6,0.392,0.9,1.3,0.705,1.4,2.1,0.6,2.3,2.9,2.2,1.2,0.3,12.6
583,Umoja Gibson,UNT,33,29.1,3.9,9.8,0.4,3,7.6,0.393,1.7,2.1,0.8,2.1,2.6,0.3,2.4,2.7,1.9,1.4,0.1,12.6
584,"Anthony Lawrence, Jr.",UM,32,33.5,4.4,9.7,0.453,1.6,4.6,0.347,2.2,2.8,0.758,2.5,1.9,0.9,5.8,6.7,3.1,1.2,0.7,12.6
585,Brekkott Chapman,WSU,33,29.5,4.4,9.1,0.485,2.1,4.7,0.436,1.6,2.2,0.74,1.8,2.8,1,7.5,8.5,1.9,1,1.7,12.5
586,Giorgi Bezhanishvili,U of I,33,26.1,5.1,9.5,0.542,0.2,0.9,0.167,2.2,3.3,0.657,2.4,3.8,2.3,2.9,5.2,0.8,0.7,0.8,12.5
587,Asante Gist,IC,33,29.6,3.9,9.7,0.408,2,5.6,0.36,2.6,3.4,0.784,1.6,2,0.4,1.9,2.4,2.3,0.6,0,12.5
588,Alex Robinson,TCU,37,34.8,4.6,10.6,0.429,1,3.3,0.311,2.4,3.6,0.652,3.5,2.3,0.4,3.5,3.9,6.9,1.4,0.3,12.5
589,Max Hazzard,UCI,37,26.4,4.3,10.4,0.412,2.5,6.5,0.388,1.4,1.8,0.779,1.3,1.3,0.5,1.5,2,2.1,0.7,0,12.5
590,Tamenang Choh,BU,32,31.2,4.3,8.5,0.506,0.2,0.8,0.269,3.8,5.7,0.656,3.2,2.7,2.2,6.4,8.6,3.4,1.3,0.8,12.5
591,Sidney Umude,SUBR,32,27.2,5,10.5,0.476,0.1,0.4,0.143,2.5,3.9,0.637,1.8,2.6,1.7,3.3,5,0.6,0.7,0.6,12.5
592,Alessandro Lever,GCU,34,25.5,4.5,10.1,0.447,1.2,3.3,0.354,2.4,3.1,0.748,1.7,3.2,1.2,3,4.3,1.4,0.4,0.1,12.5
593,Adam Pickett,WIN,29,26.2,4.6,8.3,0.554,1.3,3,0.453,1.9,2.8,0.691,3.3,3.4,1.1,4.7,5.8,2.7,0.8,0.4,12.5
594,Jacoby Ross,ASU,31,31.6,4,11.9,0.339,2.2,6.5,0.33,2.3,2.7,0.835,2.4,1.3,0.5,2.1,2.7,2.3,0.9,0,12.5
595,Kai Mitchell,SHSU,33,23.9,5.4,9.8,0.548,0,0.1,0.25,1.8,2.6,0.682,1.6,3.2,2.5,5.1,7.5,1.1,1,0.7,12.5
596,Garrett Sams,UNF,33,28.8,3.7,9.5,0.389,1.9,5.5,0.352,3.2,3.9,0.812,3.2,2.1,1.2,3.7,4.9,2.5,1.2,0.2,12.5
597,Venjie Wallis,JSU,31,31.2,4.1,9.8,0.421,0.6,2.1,0.273,3.6,5.6,0.646,2.4,3,1.6,2.6,4.3,2.1,1.4,0.4,12.5
598,Stanley Davis,MSU,29,25.8,4.8,10.6,0.454,0.2,0.9,0.2,2.7,3.4,0.798,2.4,2.5,2.1,5,7.1,1.7,1.1,0.1,12.5
599,Ledarrius Brewer,SEMO,29,28.3,4.4,11.6,0.378,1.7,5.5,0.302,2.1,2.8,0.732,2.9,2.3,0.7,4,4.7,2,1.2,0.3,12.5
600,Demajeo Wiggins,BGSU,34,28,4.1,7.8,0.519,0,0,0,4.4,6.6,0.664,2.4,2.3,2.8,7.9,10.6,0.9,0.4,0.5,12.5
601,Martins Igbanu,TU,32,27.1,4.5,7.2,0.616,0,0.2,0,3.5,5.3,0.661,2.1,2.5,1.7,4,5.7,0.7,0.6,0.2,12.5
602,DeAndre Jones,UCA,33,34,3.6,8.7,0.416,1.7,4.5,0.376,3.5,4.3,0.818,3.1,2.6,0.6,3.2,3.9,4.9,2,0.2,12.5
603,Hayden Koval,UCA,33,28.9,4.2,8.9,0.478,1.2,3.3,0.361,2.8,3.5,0.8,1.8,3.1,1.7,4.6,6.3,1.1,0.4,2.2,12.5
604,Jose Alvarado,GT,31,34.2,4.3,10.9,0.392,1.4,5,0.286,2.5,3.4,0.743,2,2.5,0.7,3.2,3.9,3.4,1.8,0.1,12.5
605,OShae Brissett,SU,34,33,4.3,11,0.393,0.9,3.3,0.27,2.9,4.4,0.66,2,2.1,2.2,5.3,7.5,1.8,1,0.8,12.4
606,Brandon Randolph,U of A,32,28.8,4.4,11.6,0.384,1.2,4.1,0.295,2.3,3,0.781,1.3,2.3,0.7,2.6,3.3,1,0.7,0.3,12.4
607,George Kiernan,USNA,30,26.7,4.2,10.6,0.392,1.8,5.2,0.344,2.3,2.6,0.885,1.7,2.6,1.3,3.9,5.3,1.1,0.6,0.3,12.4
608,Elijah Childs,BU,35,29.5,5.3,11.2,0.471,0.4,1.6,0.236,1.5,2.3,0.659,1.9,2.5,1.8,5.9,7.8,1,0.8,1.4,12.4
609,James Harvey,MSU,31,31.2,3.9,10.1,0.391,2.5,7.3,0.348,2,2.3,0.886,1.4,1.2,0.3,2.1,2.4,1.1,0.5,0.1,12.4
610,Caleb Homesley,LIB,36,27.8,5,10.8,0.461,1.6,5,0.311,0.9,1.3,0.702,1.4,1.9,0.5,5.1,5.6,2.7,0.7,0.6,12.4
611,Tyson Ward,NDSU,34,27.7,4.3,8.9,0.488,0.7,2.3,0.321,3,4.1,0.746,1.9,1.9,1.3,4.9,6.2,2.3,0.8,0.1,12.4
612,Ethan Chargois,SMU,32,28.8,4.2,9.6,0.435,1.4,4,0.349,2.7,3.8,0.699,2,2.9,2,4.2,6.2,1.9,0.9,0.7,12.4
613,Andre Kennedy,AAMU,32,28.2,5.2,10.7,0.485,0,0.3,0.111,2,2.9,0.681,2.2,2.4,2.1,3.8,5.9,0.9,0.7,0.6,12.4
614,Matt Frierson,CIT,29,30.3,3.7,10.1,0.361,3.6,9.6,0.369,1.5,1.5,1,0.9,1.3,0.4,1.7,2.1,1,0.9,0.1,12.4
615,Cameron McGriff,OSU,32,33.8,4.1,10.6,0.382,1.2,4.1,0.298,3,4,0.764,1.8,2.4,2.2,5.2,7.4,1.7,1.2,0.8,12.4
616,Alex Hicks,TU,30,29.3,4.8,9.3,0.511,0.7,2.2,0.318,2.1,3.6,0.593,2.2,2.4,2.6,5.6,8.2,0.8,0.7,0.9,12.4
617,Samir Sehic,TU,31,27.5,4.5,9.9,0.453,1.1,3.5,0.303,2.3,3.3,0.713,1.4,2.5,2.2,5.5,7.7,0.8,0.6,0.6,12.4
618,Zach Sellers,SST,31,34.2,4.4,10.7,0.41,1.6,5.4,0.295,2,2.6,0.775,2.5,1.8,1.3,2.4,3.6,4.2,1.3,0.1,12.4
619,Stef Smith,UVM,34,28,4.1,10.1,0.407,1.8,4.9,0.371,2.3,2.9,0.804,1.9,2.2,0.6,3.6,4.2,1.5,0.9,0.1,12.4
620,Obi Okolie,BU,32,32.1,4.2,8.7,0.484,1.7,3.6,0.457,2.3,3,0.763,1.5,1.6,0.7,3.4,4.1,2,0.9,0.2,12.3
621,Mike Holloway,FDU,35,28.4,4.6,9,0.51,0.3,0.7,0.346,2.9,4.6,0.64,2,3.1,1.9,3.8,5.7,1.4,0.9,1.1,12.3
622,Paul Reed,DEP,36,26.8,4.9,8.7,0.562,0.4,1,0.405,2.1,2.8,0.77,1.8,2.6,2.7,5.8,8.5,0.9,1.1,1.5,12.3
623,Jimmy Whitt,SMU,30,35.1,5.4,11.1,0.488,0.1,0.9,0.143,1.4,2.5,0.568,1.5,2.4,2.1,4.4,6.4,4,1.4,0.4,12.3
624,Noah Dickerson,UW,36,25.9,4,7.2,0.556,0,0,0,4.3,6.2,0.688,2.5,2.9,2.4,5.1,7.5,0.9,1,0.6,12.3
625,T.J. Starks,TAMU,27,27.5,4.5,12.3,0.366,1,4.6,0.224,2.3,3.5,0.649,3.8,2.3,0.5,1.7,2.2,3.5,1.2,0,12.3
626,Elijah Olaniyi,SB,31,31.1,4.2,9.9,0.425,0.9,2.9,0.319,2.9,4.2,0.705,2.5,2,1.9,4,5.9,1.7,0.8,0.4,12.3
627,Lewis Sullivan,UAB,35,27.1,4.7,8.9,0.531,0.7,1.9,0.385,2.2,3.1,0.697,1.1,2.6,2.2,4.6,6.8,1,0.8,0.4,12.3
628,Alexis Yetna,USF,36,30.2,4.6,8.5,0.539,0.8,2.1,0.368,2.4,3.8,0.625,1.6,2.5,3.2,6.3,9.6,1,0.8,0.6,12.3
629,Landon Taliaferro,FU,30,28.8,4.1,10.4,0.399,3,7.1,0.423,1,1.4,0.738,1,1.7,0.3,1.7,2,1,0.7,0.1,12.3
630,Joe Hugley,CCSU,24,21.8,3.4,8.4,0.406,1.3,3.9,0.33,4.2,4.9,0.855,1.3,2.5,1.6,3.6,5.2,0.2,0.5,0.7,12.3
631,Darius Banks,JMU,31,32,4,8.2,0.486,1.2,2.4,0.493,3.1,4,0.768,2.9,3,1,4,5,2,1.8,0.3,12.3
632,Devon Dotson,KU,36,32.4,4.1,8.5,0.482,0.9,2.5,0.363,3.2,4.1,0.782,2.2,2.5,0.6,3.1,3.7,3.5,1.4,0.1,12.3
633,Glenn Sanabria,SFC,33,30.8,4.4,11.4,0.382,1.9,5.5,0.348,1.6,2.8,0.593,1.7,2.2,0.8,2.3,3.1,2.6,1.4,0.4,12.3
634,Paul Scruggs,XAV,35,32.8,4.4,9.5,0.461,1.5,3.9,0.375,2,2.7,0.737,2.7,2.8,1.3,3.6,4.9,3.3,1.2,0.5,12.3
635,Kendarius Smith,UNA,32,33.4,4.1,11,0.376,2.1,6.5,0.329,1.9,2.8,0.674,2.2,2.3,0.7,3.6,4.2,2.7,1.4,0,12.2
636,Myron Gordon,SU,33,29.5,3.9,8.8,0.443,1.1,3.2,0.337,3.4,3.9,0.854,1.5,1.6,0.4,2,2.4,1.8,0.8,0.2,12.2
637,Timmy Allen,U of U,29,28.8,4.4,7.6,0.575,0.1,0.2,0.571,3.3,4.6,0.735,2,3,1.6,3.6,5.1,2.4,0.9,0.2,12.2
638,Brady Manek,OU,34,27.8,4.5,9.5,0.469,1.7,4.7,0.358,1.6,2.1,0.764,1.4,1.3,1.4,4.4,5.9,0.8,0.7,0.7,12.2
639,J.D. Williams,ULM,35,33.1,4,9.2,0.435,1.2,3.3,0.362,3,3.8,0.797,2.1,1.8,0.8,3.2,4,1.7,1,0.6,12.2
640,Trey Wertz,SCU,31,32.5,4.3,9.7,0.445,1.3,4,0.317,2.3,3.1,0.758,3.8,3,0.4,2.6,2.9,4.7,0.9,0.1,12.2
641,David Crisp,UW,36,33.1,4.2,10.2,0.41,2.1,5.5,0.374,1.8,2.9,0.641,2,2.2,0.4,1.7,2.1,2.7,1,0.1,12.2
642,Devin Mitchell,GSU,27,26.7,4.2,9.4,0.447,3.1,7.2,0.433,0.7,1.1,0.69,0.9,1.6,0.3,1.6,1.9,1.5,0.5,0.1,12.2
643,James Bolden,WVU,18,21.4,3.9,9.5,0.409,1.7,4.8,0.349,2.8,3.4,0.82,2.2,2.6,1.2,1.4,2.6,2.5,1.1,0.2,12.2
644,Amadou Sow,UCSB,32,23.7,4.7,8.3,0.564,0,0.2,0.2,2.8,4,0.709,1.9,3.1,2.4,4.2,6.6,0.4,0.5,0.8,12.2
645,Isaiah Blackmon,SFU,32,29,4,9.8,0.406,1.9,4.9,0.38,2.4,3.3,0.726,1.2,2.4,1.9,2.9,4.8,0.9,1.1,0.3,12.2
646,Anthony Duruji,LTU,33,29.9,4.4,9.3,0.468,1.2,3.7,0.339,2.2,3.3,0.673,1.7,2.5,1.5,4.7,6.2,0.9,0.9,1.2,12.2
647,Charles Matthews,UM,34,31.5,4.5,10.4,0.431,0.9,2.9,0.299,2.4,3.6,0.645,1.7,1.8,1.5,3.5,5,1.4,1.1,0.5,12.2
648,Jared Savage,WKU,34,35.7,3.7,10.3,0.364,2.4,6.5,0.36,2.4,2.9,0.818,1.3,2.5,0.5,4.3,4.8,1.2,1,0.4,12.2
649,Geo Baker,RU,31,34,4.2,11.7,0.354,1.9,5.7,0.341,1.9,2.6,0.741,3,1.9,0.2,2.9,3.1,4.1,1.6,0.5,12.2
650,Chris Howell,JSU,32,30.4,4.9,11.5,0.427,0.1,0.5,0.188,2.3,3.7,0.624,3.1,2.5,1.6,5.8,7.4,2.3,0.9,0.3,12.2
651,Brandon Better,SUU,33,23.9,3.6,9.8,0.367,2.2,6.3,0.349,2.8,3.3,0.835,1.4,1.7,0.2,1.2,1.4,1.3,0.6,0,12.2
652,Tray Boyd III,ETSU,34,22.7,4.6,10.8,0.429,2.4,6.6,0.368,0.5,0.8,0.667,1.8,1.6,0.3,1.6,1.9,1.9,0.8,0.4,12.2
653,Elijah Davis,WC,30,28.1,4.1,9.5,0.427,1.4,4.3,0.336,2.6,3.2,0.804,1.7,2.1,1.6,2.3,3.9,1.2,0.6,0.3,12.2
654,B.J. Martin,RU,32,25.6,3.6,7.8,0.468,1.5,3.6,0.426,3.4,4.6,0.735,1.6,2.5,1.3,4.8,6.2,1.7,0.9,0.3,12.2
655,Lindy Waters III,OSU,32,33.8,3.9,8.9,0.435,2.2,4.8,0.448,2.2,2.6,0.878,1.5,2.3,0.8,3.4,4.2,2.8,1.2,0.2,12.2
656,Derrik Smits,VAL,32,21.8,4.7,7.9,0.594,0,0,0,2.7,4.4,0.613,2,3,2,3.7,5.7,0.8,0.4,1,12.2
657,Jace Hogan,JAC,32,25.5,4.9,10.3,0.471,0.1,0.2,0.286,2.3,3.4,0.682,1.8,1.6,2,3.2,5.2,0.9,0.6,0.6,12.2
658,Sincere Carry,DUQ,28,33.5,4.1,9.5,0.434,1.2,3.9,0.315,2.6,3.7,0.718,3,1.9,0.6,3,3.6,5.8,2.4,0.2,12.1
659,Fred Scott,RU,30,25.2,3.9,8.4,0.466,0.9,2.5,0.373,3.3,5.1,0.654,1.6,2,1.5,4.2,5.7,1.4,0.8,0.3,12.1
660,Zylan Cheatham,ASU,34,32.4,4.2,7.9,0.534,0.3,0.7,0.44,3.4,5.5,0.618,3,2.7,2.1,8.2,10.3,3.2,0.8,0.8,12.1
661,Josh Anderson,WKU,34,29.9,4.5,9.5,0.472,0.4,1.5,0.288,2.7,3.9,0.71,2.2,2.7,1.1,3,4.1,1.7,1.7,0.7,12.1
662,Jaylen Fisher,TCU,9,24.1,3.9,9.4,0.412,3.3,7.6,0.441,1,1.1,0.9,0.7,2.6,0.4,2,2.4,2.7,1,0.2,12.1
663,Rayshaun Hammonds,UGA,28,24.3,4.2,8.6,0.492,0.9,2.5,0.366,2.7,3.3,0.806,2.4,3.2,1.7,4.4,6.1,1.6,0.9,0.4,12.1
664,Jamir Coleman,CCSU,30,28.5,4.4,9.9,0.44,0.8,2.4,0.342,2.5,3,0.844,1.5,1.9,1.7,4.5,6.2,0.9,1.1,0.7,12.1
665,Michael Finke,GCU,31,26,4.5,8.3,0.539,1.1,3.5,0.318,2.1,2.5,0.81,0.9,1.7,1.9,3.2,5.1,1.4,0.3,0.1,12.1
666,DeAndre Abram,UWM,31,32.4,4.4,11.5,0.381,1.9,5.8,0.322,1.5,1.9,0.763,1.5,2.1,1.1,5.8,6.9,1.1,0.7,0.7,12.1
667,Richmond Aririguzoh,PRIN,28,25.9,4.4,6.3,0.693,0,0,0,3.4,4.4,0.758,2,3.1,2.9,3.5,6.4,1.2,0.6,0.7,12.1
668,Alex Hobbs,BSU,30,30.9,4.5,9.7,0.462,1.2,3.3,0.357,2,2.2,0.894,1.4,1.6,0.3,3.2,3.5,2,0.8,0,12.1
669,Javante McCoy,BU,32,29.6,4.3,10,0.429,1.7,4.4,0.386,1.8,2.2,0.806,1.6,1.8,0.7,2.4,3.1,2.3,1,0.2,12.1
670,Cody Martin,UNR,34,34.4,4.4,8.8,0.505,1,2.8,0.358,2.2,2.9,0.763,1.9,2.5,0.9,3.5,4.5,4.9,1.4,0.7,12.1
671,Rodrick Sikes,USA,34,29.4,3.9,10.1,0.392,2.4,6.8,0.346,1.8,2.6,0.689,1,1.5,0.2,1.7,1.9,0.6,0.9,0.1,12.1
672,David DiLeo,CMU,35,34.4,3.7,8.5,0.435,2.7,6.4,0.417,2,2.6,0.767,0.7,2.3,1.1,3.8,4.9,0.9,0.8,0.4,12.1
673,Esa Ahmad,WVU,23,28.1,4.3,9.2,0.462,0.5,2.2,0.24,3,4.6,0.651,2.8,2.6,2.4,3.4,5.8,1.8,0.9,0.7,12
674,C.J. Jackson,OSU,34,30.7,4,9.9,0.407,1.8,4.9,0.369,2.1,2.8,0.768,2.2,1.9,0.5,3.5,4,3.5,1.2,0.2,12
675,Chuma Okeke,AU,38,29.1,4.4,8.9,0.496,1.4,3.7,0.387,1.7,2.4,0.722,1.7,1.9,2.8,4.1,6.8,1.9,1.8,1.2,12
676,Ryan Cline,PU,36,33.8,4.1,9.8,0.423,3.1,7.4,0.417,0.6,0.9,0.697,1.2,1.6,0.2,2.7,2.9,3.3,0.6,0.1,12
677,Ian Krishnan,CCSU,31,34,4.2,11.5,0.363,2.3,6.7,0.34,1.4,1.6,0.843,1,2.6,0.3,1.7,2,1.2,0.8,0,12
678,Jaylen Minnett,IUPUI,33,23.9,4,11.2,0.356,2.4,7.5,0.316,1.7,1.9,0.873,1.5,1.6,0.3,1.8,2.1,2,0.9,0.1,12
679,Chris Mullins,RU,32,28.8,3.8,9.9,0.389,0.9,3,0.302,3.4,4.7,0.72,2.4,2.1,0.8,2.1,2.8,2.7,1.2,0.1,12
680,Joe Rosga,UD,26,31.8,4.3,10.6,0.407,2.3,5.7,0.415,1,1.1,0.897,1.6,1.7,0.5,2.4,2.8,2.4,1,0,12
681,Samajae Haynes-Jones,WSU,37,32.3,4.4,12.4,0.357,1.7,5.8,0.298,1.4,1.6,0.847,1.6,1.9,0.5,2.5,2.9,2.7,0.6,0.1,11.9
682,A.J. Hicks,MSU,33,32.8,3.5,9.7,0.355,1.1,3.6,0.314,3.9,6.1,0.645,3.1,2.2,0.5,2.5,3,5.8,1.8,0.4,11.9
683,Donovan Sims,MTSU,29,32.7,4.3,10.1,0.428,1.9,5.2,0.362,1.4,1.9,0.745,2.3,1.8,0.4,3.8,4.2,3,1.6,0.1,11.9
684,Delante Jones,SEA,26,28.8,4.2,10.6,0.393,1.6,4.6,0.342,2,2.6,0.779,2,2,0.9,2.2,3,1.2,0.4,0.3,11.9
685,Lamar Peters,MSU,34,30,4,10.1,0.398,2.5,6.6,0.386,1.3,2.1,0.643,3,2.9,0.5,1.4,2,5.2,1.7,0,11.9
686,Diandre Wilson,NJIT,34,29.8,3.5,8.6,0.405,1.5,4.4,0.342,3.5,4.5,0.776,1.5,2,0.4,2.5,2.9,1.7,0.9,0.2,11.9
687,Trevor John,DREX,32,32.5,3.8,9.1,0.424,3.2,7.8,0.412,1,1.1,0.941,0.6,1.6,0.5,2,2.5,1,0.7,0,11.9
688,Chaundee Brown,WF,31,29,4.2,10.2,0.408,1.4,4.3,0.323,2.2,2.6,0.84,1.5,1.8,1.7,3.3,4.9,1.2,0.7,0.2,11.9
689,Ray Salnave,MU,34,26.4,3.9,9.6,0.41,0.9,2.9,0.303,3.1,4.1,0.768,2.6,2.8,0.7,3.3,4,2.8,1.2,0.2,11.9
690,Andrew Eudy,CAM,33,32.3,4.5,8.8,0.507,0.9,2.3,0.408,2,2.3,0.867,1.9,2.8,2.1,4.7,6.8,3.6,0.8,1.4,11.9
691,Isiah Deas,LU,31,26.1,3.9,10.9,0.361,2.1,5.9,0.348,1.9,2.6,0.741,2.2,2,0.4,2.2,2.6,1.7,0.9,0.2,11.9
692,Jimond Ivey,AKR,33,32.6,4.2,9.3,0.458,1.2,4.6,0.255,2.2,2.8,0.783,1.9,1.9,1.5,4.6,6.1,3.4,1.2,0.3,11.8
693,Jalyn Patterson,TSU,33,28.7,3.8,10.7,0.357,2,6.5,0.31,2.2,2.8,0.777,2.5,1.6,0.5,3,3.5,3.8,1.3,0.2,11.8
694,Carl Pierre,UMass,32,30.6,4.1,10.2,0.402,2.6,6.7,0.381,1,1.5,0.702,0.9,2.2,0.6,1.7,2.2,1.4,0.4,0.1,11.8
695,Joel Ntambwe,UNLV,31,24.1,3.8,9.4,0.409,1.4,3.7,0.386,2.7,3.6,0.752,1.2,2.6,1.6,3.9,5.5,0.6,0.5,0.4,11.8
696,"Jimmy Boeheim, Jr.",COR,31,24.7,4.5,9.7,0.463,1.3,3.8,0.35,1.5,2.4,0.64,1.3,1.7,0.6,2.8,3.4,1,0.5,0.4,11.8
697,Kevaughn Allen,UF,36,30.7,3.8,9.6,0.389,1.7,5.3,0.326,2.6,2.9,0.887,1.9,1.4,0.2,2.5,2.8,2.1,1.4,0.2,11.8
698,Neemias Queta,USU,35,27.1,4.8,7.8,0.614,0.1,0.1,0.4,2.2,3.9,0.565,2.3,3.1,2.5,6.4,8.9,1.6,0.7,2.4,11.8
699,Isaiah Roby,UNL,35,31.3,4.2,9.3,0.454,0.8,2.4,0.333,2.6,3.8,0.677,2,3.2,1.9,5,6.9,1.9,1.3,1.9,11.8
700,Talen Horton-Tucker,ISU,35,27.2,4.4,10.9,0.406,1.4,4.5,0.308,1.6,2.5,0.625,1.7,2.3,0.7,4.2,4.9,2.3,1.3,0.7,11.8
701,Marcellus Garrick,POLY,29,27.5,3.9,10.3,0.376,2,5.9,0.345,2.1,2.7,0.779,1.1,1.6,0.4,2.4,2.9,0.7,0.6,0,11.8
702,Kamar McKnight,TSU,29,29.2,4.1,11.2,0.365,1.1,4.6,0.233,2.6,3.6,0.705,2.6,2.6,0.7,2.1,2.8,1.9,0.9,0.1,11.8
703,Nate Grimes,CSUF,31,25.6,5,8.3,0.597,0.1,0.5,0.235,1.7,2.7,0.635,1.7,2.5,2.6,6.6,9.3,0.7,0.8,1.7,11.8
704,Conner Avants,UND,24,24.1,4.6,7.6,0.607,0,0,0,2.5,3.5,0.718,1.8,1.8,1.3,3.9,5.2,1.5,1,0.4,11.8
705,Brady Ellingson,DU,33,33.7,4.2,8.3,0.502,2.5,5.3,0.469,1,1.1,0.892,1,1.1,0.2,1.9,2.1,1.7,0.5,0.2,11.8
706,Keljin Blevins,MSU,31,28.4,4.6,10.7,0.429,0.7,2.4,0.284,1.9,3,0.624,2.1,2.2,1.5,4.5,5.9,1.6,0.7,0.3,11.8
707,Malik Benlevi,GSU,34,32.2,4.2,8.8,0.478,2.1,5.3,0.406,1.2,1.8,0.672,0.7,2.9,1.6,4.2,5.8,0.9,1.2,1,11.8
708,Deion Hammond,MU,34,26.3,4,10.4,0.381,2.2,6.3,0.344,1.6,2.3,0.727,1.7,2.1,0.4,1.8,2.1,0.9,0.5,0.2,11.8
709,Caleb Stewart,BU,33,31.5,4.1,9.8,0.418,2,5.5,0.357,1.6,2.2,0.746,1.3,1.9,0.8,6.2,7,0.8,0.7,1.7,11.8
710,Tevin Brown,MSU,33,32.8,3.9,9.5,0.414,2.7,7.3,0.372,1.2,1.4,0.809,1.1,2.2,0.6,4.1,4.7,2.3,1.1,0.6,11.8
711,Dejan Vasiljevic,UM,32,32,3.9,9.8,0.401,2.5,6.9,0.367,1.4,1.5,0.918,0.8,1.6,1,3.5,4.5,1.2,0.7,0,11.8
712,Zach Johnson,UM,32,31,4,10.2,0.391,1,3.6,0.289,2.8,4.3,0.65,2,2,0.4,2.4,2.8,2.4,1.7,0.4,11.8
713,Cole Gentry,WRST,35,33,3.9,8.9,0.436,1.6,4.5,0.352,2.4,2.6,0.902,1.3,1.7,0.3,2.1,2.4,3.2,1.3,0,11.7
714,Marreon Jackson,U of T,32,29.1,4,9.3,0.428,1.9,5.2,0.359,1.9,2.5,0.772,2.6,2.1,0.7,3.2,3.9,4.2,1.4,0.1,11.7
715,Thomas Dziagwa,OSU,32,32.1,4,10,0.396,3.3,7.7,0.425,0.5,0.7,0.762,1.4,1.8,0.2,2.9,3.1,1.5,0.5,0,11.7
716,Ethan Stair,MER,31,32.5,4,8.3,0.486,1.6,4,0.415,2,2.5,0.795,1,2,1.3,3.9,5.2,1.3,1.5,0.2,11.7
717,Byron Hawkins,BU,30,29.6,4.1,10.7,0.381,1.6,5.2,0.316,1.9,2.4,0.795,1.4,1.7,0.7,2,2.7,1.7,0.6,0.1,11.7
718,Jalen Smith,UMD,33,26.7,4.4,8.9,0.492,0.6,2.2,0.268,2.3,3.5,0.658,1.2,2,2.7,4.1,6.8,0.9,0.4,1.2,11.7
719,Matt Holba,IPFW,33,25.8,3.9,8.2,0.472,2.5,5.7,0.431,1.5,2.1,0.7,1.6,1.6,0.8,3.3,4.2,1.2,0.5,0.6,11.7
720,Paul Jorgensen,BU,33,26.5,4.2,10.5,0.398,2.2,5.6,0.389,1.2,1.6,0.717,0.8,1.2,0.5,2.6,3.1,1.6,0.7,0.1,11.7
721,Tank Hemphill,UWGB,38,27.9,4.9,9.3,0.527,0,0.1,0,1.8,3.9,0.476,1.9,1.9,1.7,3.9,5.6,1.5,1.1,0.5,11.7
722,Nate Watson,PROV,34,23.5,4.4,7.4,0.59,0,0,0,3,4.6,0.652,1.3,2.4,2.3,3,5.2,0.4,0.3,0.7,11.7
723,Wajid Aminu,UNF,33,25.8,4.7,8.6,0.551,0.3,0.8,0.37,1.9,3.1,0.612,1.9,3.2,2.4,4.1,6.5,1.4,0.9,2.1,11.7
724,Ryan Woolridge,UNT,30,32.8,4.6,9.8,0.469,0.7,2,0.333,1.8,3.1,0.581,2.9,1.6,1,4.9,5.9,4.8,1.9,0.3,11.7
725,Ryan Funk,MAR,30,27.7,3.6,8.7,0.414,2.6,6.7,0.395,1.8,2,0.917,0.6,1.7,0.2,2.7,2.9,0.4,0.5,0.2,11.7
726,Edward Hardt,HBU,27,24.4,4.3,7.6,0.571,0,0,1,3,4.9,0.602,2.1,2.9,1.6,3.4,5,0.7,0.7,0.3,11.7
727,"Lovell Cabbil, Jr.",LIB,35,30,3.7,7.6,0.492,1.5,3.4,0.437,2.7,3.1,0.862,2.2,1.9,0.4,3.2,3.6,2.8,1.3,0.2,11.7
728,Isiaha Mike,SMU,32,30.7,3.9,8.7,0.453,1.6,4.2,0.368,2.2,2.9,0.763,1.9,3.1,1.8,3.6,5.4,1.7,0.9,1.1,11.7
729,Trey McGowens,PITT,33,27.8,3.4,8.2,0.417,1,3,0.327,3.8,5,0.764,2.4,2.8,0.6,2.6,3.2,1.7,1.9,0.1,11.6
